Navn;Stasjon;Tid(norsk normaltid);Solskinnstid (døgn);Gjennomsnittlig skydekke (døgn);Nedbør (døgn);Maksimumstemperatur (døgn)
Oslo - Blindern;SN18700;06.04.1980;7,3;4;0;11
Oslo - Blindern;SN18700;07.04.1980;0,1;8;0;9,5
Oslo - Blindern;SN18700;08.04.1980;8,8;4;0;9
Oslo - Blindern;SN18700;09.04.1980;8,2;5,7;0;6,6
Oslo - Blindern;SN18700;10.04.1980;7,4;6;0;10,5
Oslo - Blindern;SN18700;06.04.1981;9,9;3,7;0;12,5
Oslo - Blindern;SN18700;07.04.1981;11,3;0,7;0;12
Oslo - Blindern;SN18700;08.04.1981;2,2;7;0;10,2
Oslo - Blindern;SN18700;09.04.1981;0;7,3;0;9,7
Oslo - Blindern;SN18700;10.04.1981;6,9;4,3;0;14,8
Oslo - Blindern;SN18700;06.04.1982;0;8;3,5;3,2
Oslo - Blindern;SN18700;07.04.1982;0;8;0;5,1
Oslo - Blindern;SN18700;08.04.1982;0;8;26,3;4,2
Oslo - Blindern;SN18700;09.04.1982;10,6;3,3;0,1;8,7
Oslo - Blindern;SN18700;10.04.1982;5,6;5,7;0;7,5
Oslo - Blindern;SN18700;06.04.1983;0,1;7,7;0,7;4,5
Oslo - Blindern;SN18700;07.04.1983;0;8;1,2;3,2
Oslo - Blindern;SN18700;08.04.1983;3,1;6;1,6;6,4
Oslo - Blindern;SN18700;09.04.1983;1,6;6;0,4;10,5
Oslo - Blindern;SN18700;10.04.1983;3,3;5,3;0;9,2
Oslo - Blindern;SN18700;06.04.1984;0;7,7;0,4;6,1
Oslo - Blindern;SN18700;07.04.1984;0,7;7,3;0;7,1
Oslo - Blindern;SN18700;08.04.1984;0;8;0,3;7,1
Oslo - Blindern;SN18700;09.04.1984;0;8;5,2;7,2
Oslo - Blindern;SN18700;10.04.1984;0;8;1,5;6,4
Oslo - Blindern;SN18700;06.04.1985;0;7,7;4,9;0
Oslo - Blindern;SN18700;07.04.1985;0;8;4,5;2,2
