Navn;Stasjon;Tid(norsk normaltid);Solskinnstid (døgn);Gjennomsnittlig skydekke (døgn);Nedbør (døgn);Maksimumstemperatur (døgn)
Oslo - Blindern;SN18700;01.03.1980;8;3,3;0;7,7
Oslo - Blindern;SN18700;02.03.1980;5,3;4,3;0;1,7
Oslo - Blindern;SN18700;03.03.1980;8,8;3;0;1,6
Oslo - Blindern;SN18700;04.03.1980;5,9;3,7;0;1,3
Oslo - Blindern;SN18700;05.03.1980;2;4;0;2
Oslo - Blindern;SN18700;06.03.1980;0;8;0,5;0,6
Oslo - Blindern;SN18700;07.03.1980;0;8;0,3;1,5
Oslo - Blindern;SN18700;08.03.1980;0;8;14,1;-0,2
Oslo - Blindern;SN18700;09.03.1980;0;7,7;0;1,3
Oslo - Blindern;SN18700;10.03.1980;0;7,7;0,3;0,9
Oslo - Blindern;SN18700;11.03.1980;0;8;0,6;0,1
Oslo - Blindern;SN18700;12.03.1980;0;8;0,1;-0,6
Oslo - Blindern;SN18700;13.03.1980;0;7,7;0,5;1,1
Oslo - Blindern;SN18700;14.03.1980;2,1;6,7;0,1;0,6
Oslo - Blindern;SN18700;15.03.1980;0,3;4,7;0;0,6
Oslo - Blindern;SN18700;16.03.1980;2,5;7;0;1,7
Oslo - Blindern;SN18700;17.03.1980;7,7;3;0;2
Oslo - Blindern;SN18700;18.03.1980;6,9;3;0;0,5
Oslo - Blindern;SN18700;19.03.1980;9,9;0,3;0;-3
Oslo - Blindern;SN18700;01.03.1981;1,5;5,7;0;-2,5
Oslo - Blindern;SN18700;02.03.1981;5,1;4,7;0;-2,2
Oslo - Blindern;SN18700;03.03.1981;8,4;2;0;0,8
Oslo - Blindern;SN18700;04.03.1981;3,5;7,7;0;-0,4
Oslo - Blindern;SN18700;05.03.1981;0;7,7;3,4;-3
Oslo - Blindern;SN18700;06.03.1981;6;3,3;0,5;-7
Oslo - Blindern;SN18700;07.03.1981;0;8;4,4;-5
Oslo - Blindern;SN18700;08.03.1981;0;8;11,1;-1,6
Oslo - Blindern;SN18700;09.03.1981;3,1;8;4,5;5,3
Oslo - Blindern;SN18700;10.03.1981;9,3;1,3;0;6,3
Oslo - Blindern;SN18700;11.03.1981;0;7,7;0;0,5
Oslo - Blindern;SN18700;12.03.1981;0;8;0;-0,6
Oslo - Blindern;SN18700;13.03.1981;0;8;5;1,1
Oslo - Blindern;SN18700;14.03.1981;1,7;7;1,5;0,5
Oslo - Blindern;SN18700;15.03.1981;0;6,7;0;-5,3
Oslo - Blindern;SN18700;16.03.1981;0,2;7;0;-1,4
Oslo - Blindern;SN18700;17.03.1981;8,4;1,3;0;4,2
Oslo - Blindern;SN18700;18.03.1981;0;8;0;0
Oslo - Blindern;SN18700;19.03.1981;2;5,3;5,6;2,5
Oslo - Blindern;SN18700;01.03.1982;0;8;6,7;2,1
Oslo - Blindern;SN18700;02.03.1982;5,1;5,3;6,2;6,6
Oslo - Blindern;SN18700;03.03.1982;0;8;0;2,5
Oslo - Blindern;SN18700;04.03.1982;1,2;7;11,2;2,3
Oslo - Blindern;SN18700;05.03.1982;9,5;0,7;0;5,5
Oslo - Blindern;SN18700;06.03.1982;5,7;5,3;0;2,6
Oslo - Blindern;SN18700;07.03.1982;0;8;0;2,8
Oslo - Blindern;SN18700;08.03.1982;6,4;3,7;0;2,8
Oslo - Blindern;SN18700;09.03.1982;0;8;0;0,5
Oslo - Blindern;SN18700;10.03.1982;0;8;0;3
